id,group_id,value,created_at,updated_at
1,3,10.204.22.0/23,2022-06-07 16:18:24.715637,2022-06-07 16:18:24.715637
2,4,10.204.152.0/23,2022-06-07 16:18:24.748735,2022-06-07 16:18:24.748735
3,5,10.204.145.0/24,2022-06-07 16:18:24.764453,2022-06-07 16:18:24.764453
4,6,10.204.147.128/26,2022-06-07 16:18:24.776927,2022-06-07 16:18:24.776927
5,7,10.204.147.64/26,2022-06-07 16:18:24.788042,2022-06-07 16:18:24.788042
6,8,10.205.3.0/24,2022-06-07 16:18:24.800069,2022-06-07 16:18:24.800069
7,12,129.2.0.0/16,2022-06-07 16:18:24.912511,2022-06-07 16:18:24.912511
8,12,128.8.0.0/16,2022-06-07 16:18:24.919768,2022-06-07 16:18:24.919768
9,12,10.0.0.0/8,2022-06-07 16:18:24.925286,2022-06-07 16:18:24.925286
13,16,0.0.0.0/0,2022-06-07 16:18:24.960906,2022-06-07 16:18:24.960906
14,17,131.118.233.0/24,2022-06-07 16:18:25.013823,2022-06-07 16:18:25.013823
15,17,131.118.234.0/23,2022-06-07 16:18:25.022292,2022-06-07 16:18:25.022292
16,17,131.118.237.0/27,2022-06-07 16:18:25.032662,2022-06-07 16:18:25.032662
17,17,136.160.224.0/21,2022-06-07 16:18:25.041723,2022-06-07 16:18:25.041723
30,25,129.2.19.99,2023-02-02 17:39:39.567452,2023-02-02 17:39:39.567452
32,25,129.2.19.101,2023-02-02 17:40:16.635377,2023-02-02 17:40:16.635377
33,25,129.2.19.103,2023-02-02 17:40:25.07374,2023-02-02 17:40:25.07374
34,25,129.2.19.104,2023-02-02 17:40:31.304919,2023-02-02 17:40:31.304919
35,25,129.2.19.105,2023-02-02 17:40:35.698555,2023-02-02 17:40:35.698555
36,25,129.2.19.106,2023-02-02 17:40:41.762335,2023-02-02 17:40:41.762335
37,25,129.2.19.107,2023-02-02 17:40:46.513804,2023-02-02 17:40:46.513804
38,25,129.2.19.108,2023-02-02 17:40:59.537834,2023-02-02 17:40:59.537834
39,25,129.2.19.109,2023-02-02 17:41:19.049976,2023-02-02 17:41:19.049976
40,25,129.2.19.111,2023-02-02 17:41:28.649968,2023-02-02 17:41:28.649968
41,25,129.2.19.112,2023-02-02 17:41:36.667483,2023-02-02 17:41:36.667483
42,25,129.2.19.113,2023-02-02 17:41:50.845545,2023-02-02 17:41:50.845545
43,25,129.2.19.114,2023-02-02 17:41:58.885331,2023-02-02 17:41:58.885331
44,25,129.2.19.83,2023-02-02 17:42:50.503589,2023-02-02 17:42:50.503589
46,25,129.2.19.85,2023-02-02 17:43:12.734939,2023-02-02 17:43:12.734939
47,25,129.2.19.87,2023-02-02 17:43:21.015184,2023-02-02 17:43:21.015184
48,25,129.2.19.88,2023-02-02 17:43:25.372814,2023-02-02 17:43:25.372814
49,25,129.2.19.89,2023-02-02 17:43:30.139875,2023-02-02 17:43:30.139875
50,25,129.2.19.90,2023-02-02 17:43:36.17354,2023-02-02 17:43:36.17354
51,25,129.2.19.91,2023-02-02 17:43:42.002612,2023-02-02 17:43:42.002612
52,25,129.2.19.92,2023-02-02 17:43:49.664283,2023-02-02 17:43:49.664283
53,25,129.2.19.93,2023-02-02 17:43:54.453432,2023-02-02 17:43:54.453432
54,25,129.2.19.95,2023-02-02 17:44:02.620209,2023-02-02 17:44:02.620209
55,25,129.2.19.96,2023-02-02 17:44:07.356202,2023-02-02 17:44:07.356202
56,25,129.2.19.97,2023-02-02 17:44:11.925446,2023-02-02 17:44:11.925446
57,25,129.2.19.98,2023-02-02 17:44:16.209704,2023-02-02 17:44:16.209704
58,26,10.204.141.128/25,2023-02-02 18:19:48.568962,2023-02-02 18:19:48.568962
59,27,10.204.146.0/26,2023-02-02 18:24:52.683469,2023-02-02 18:24:52.683469
60,28,10.204.145.0/24,2023-02-02 18:25:51.222634,2023-02-02 18:25:51.222634
61,29,10.204.147.128/26,2023-02-02 18:26:32.572202,2023-02-02 18:26:32.572202
62,30,10.204.9.192/26,2023-02-02 18:27:38.472895,2023-02-02 18:27:38.472895
63,31,10.204.147.0/26,2023-02-02 18:29:26.077438,2023-02-02 18:29:26.077438
64,32,10.204.146.64/26,2023-02-02 18:29:59.602079,2023-02-02 18:29:59.602079
65,33,10.204.155.128/26,2023-02-02 18:30:44.93556,2023-02-02 18:30:44.93556
66,34,10.204.130.128/26,2023-02-02 18:31:24.394174,2023-02-02 18:31:24.394174
67,35,10.206.0.0/17,2024-06-10 18:19:05.73363,2024-06-10 18:19:05.73363
69,36,129.2.19.84,2024-06-27 16:08:03.653287,2024-06-27 16:08:03.653287
70,36,129.2.19.100,2024-06-27 16:08:17.756231,2024-06-27 16:08:17.756231
71,37,130.85.0.0/16,2024-06-27 16:15:39.435794,2024-06-27 16:15:39.435794
73,39,10.204.147.15,2024-07-25 12:57:20.536818,2024-07-25 12:57:20.536818
74,40,10.204.23.234,2024-07-25 12:59:26.636847,2024-07-25 12:59:26.636847
75,12,192.54.100.0/22,2024-08-05 12:53:01.184747,2024-08-05 12:53:01.184747
76,41,129.2.18.0/23,2024-11-01 14:27:56.200279,2024-11-01 14:27:56.200279
77,42,128.8.66.128/26,2024-11-01 14:38:48.575054,2024-11-01 14:38:48.575054
78,35,129.2.90.0/24,2025-07-10 20:06:42.575811,2025-07-10 20:06:42.575811
