id,subject_id,object_id,created_at,updated_at,relation_type
2,2,3,2022-06-07 16:18:24.590212,2022-06-16 17:03:18.73858,0
3,2,4,2022-06-07 16:18:24.607846,2022-06-16 17:03:18.742572,0
4,2,5,2022-06-07 16:18:24.622961,2022-06-16 17:03:18.74608,0
5,2,6,2022-06-07 16:18:24.641223,2022-06-16 17:03:18.74927,0
6,2,7,2022-06-07 16:18:24.656664,2022-06-16 17:03:18.752379,0
7,2,8,2022-06-07 16:18:24.670652,2022-06-16 17:03:18.75542,0
10,10,12,2022-06-07 16:18:24.851375,2022-06-16 17:03:18.764495,0
13,14,12,2022-06-07 16:18:24.982225,2022-06-16 17:03:18.773456,0
14,14,17,2022-06-07 16:18:24.997543,2022-06-16 17:03:18.776497,0
25,12,25,2023-02-02 17:48:08.095725,2023-02-02 17:48:08.095725,1
26,25,36,2024-06-27 16:08:57.13798,2024-06-27 16:08:57.13798,0
27,37,36,2024-06-27 16:15:49.32686,2024-06-27 16:15:49.32686,0
